season,round,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2021,11,False,False,False,True,False,bottas,2,16,108,0,4,285,4,2,0.3149999999999977,31
2021,11,False,False,False,True,False,max_verstappen,3,9,185,5,1,289,6,1,0.4210000000000065,23
2021,11,False,False,False,True,False,perez,4,17,104,1,5,289,6,1,1.0019999999999953,31
2021,11,False,False,False,True,False,gasly,5,5,39,0,9,49,0,5,1.0640000000000072,25
2021,11,False,False,False,True,False,norris,6,15,113,0,3,163,0,3,1.0700000000000074,21
2021,11,False,False,False,True,False,leclerc,7,18,80,0,6,148,0,4,1.0769999999999982,23
2021,11,False,False,False,True,False,ocon,8,1,14,0,13,40,0,7,1.2339999999999947,24
2021,11,False,False,False,True,False,alonso,9,4,26,0,11,40,0,7,1.2960000000000065,40
2021,11,False,False,False,True,False,vettel,10,20,30,0,10,48,0,6,1.331000000000003,34
2021,11,False,False,False,True,False,ricciardo,11,11,50,0,8,163,0,3,1.4519999999999982,32
2021,11,False,False,False,True,False,stroll,12,19,18,0,12,48,0,6,1.4740000000000038,22
2021,11,False,False,False,True,False,raikkonen,13,10,1,0,15,2,0,8,2.144999999999996,41
2021,11,False,False,False,True,False,tsunoda,16,6,10,0,14,49,0,5,2.5,21
2021,11,False,False,False,True,False,russell,17,8,0,0,17,0,0,9,2.5250000000000057,23
2021,11,False,False,False,True,False,latifi,18,7,0,0,19,0,0,9,2.6170000000000044,26
2021,11,False,False,False,True,False,mazepin,19,14,0,0,20,0,0,10,3.503,22
2021,12,False,False,False,True,False,max_verstappen,1,1,187,5,2,291,6,2,0.0,23
2021,12,False,False,False,True,False,russell,2,2,4,0,16,10,0,8,0.32099999999999795,23
2021,12,False,False,False,True,False,hamilton,3,3,195,4,1,303,4,1,0.3340000000000032,36
2021,12,False,False,False,True,False,ricciardo,4,4,50,0,9,163,0,4,1.0990000000000038,32
2021,12,False,False,False,True,False,vettel,5,5,30,0,12,48,0,7,1.1700000000000017,34
2021,12,False,False,False,True,False,gasly,6,6,50,0,8,68,0,6,1.399000000000001,25
2021,12,False,False,False,True,False,ocon,8,7,39,1,10,77,1,5,3.7480000000000047,24
2021,12,False,False,False,True,False,leclerc,9,8,80,0,7,163,0,3,-2.043999999999997,23
2021,12,False,False,False,True,False,latifi,10,9,6,0,15,10,0,8,-1.7090000000000032,26
2021,12,False,False,False,True,False,sainz,11,10,83,0,6,163,0,3,-1.6280000000000001,26
2021,12,False,False,False,True,False,alonso,12,11,38,0,11,77,1,5,-1.5600000000000023,40
2021,12,False,False,False,True,False,bottas,13,12,108,0,4,303,4,1,2.7369999999999948,32
2021,12,False,False,False,True,False,giovinazzi,14,13,1,0,18,3,0,9,2.540999999999997,27
2021,12,False,False,False,True,False,tsunoda,16,15,18,0,13,68,0,6,2.647999999999996,21
2021,12,False,False,False,True,False,mick_schumacher,17,16,0,0,19,0,0,10,4.207999999999998,22
2021,12,False,False,False,True,False,mazepin,18,17,0,0,20,0,0,10,5.173999999999992,22
2021,12,False,False,False,True,False,stroll,19,20,18,0,14,48,0,7,-1.534000000000006,22
2021,13,True,False,False,False,False,max_verstappen,1,1,0,6,2,0,7,2,0.0,23
2021,13,True,False,False,False,False,hamilton,2,2,0,4,1,0,4,1,0.0379999999999967,36
2021,13,True,False,False,False,False,bottas,3,3,108,0,4,0,4,1,0.3369999999999891,32
2021,13,True,False,False,False,False,gasly,4,4,54,0,9,72,0,6,0.5929999999999893,25
2021,13,True,False,False,False,False,leclerc,5,5,82,0,7,0,0,4,0.6419999999999959,23
2021,13,True,False,False,False,False,sainz,6,7,0,0,6,0,0,4,0.652000000000001,27
2021,13,True,False,False,False,False,giovinazzi,7,14,1,0,18,3,0,9,0.7049999999999983,27
2021,13,True,False,False,False,False,ocon,8,9,42,1,10,80,1,5,1.0479999999999876,24
2021,13,True,False,False,False,False,alonso,9,6,38,0,11,80,1,5,1.070999999999998,40
2021,13,True,False,False,False,False,ricciardo,10,11,56,0,8,169,0,3,1.2809999999999917,32
2021,13,True,False,False,False,False,russell,11,17,13,0,15,20,0,8,1.4469999999999885,23
2021,13,True,False,False,False,False,stroll,12,12,18,0,14,53,0,7,1.4819999999999993,22
2021,13,True,False,False,False,False,norris,13,10,113,0,3,169,0,3,1.5210000000000008,21
2021,13,True,False,False,False,False,tsunoda,14,19,18,0,13,72,0,6,2.428999999999988,21
2021,13,True,False,False,False,False,vettel,15,13,35,0,12,53,0,7,1.8459999999999894,34
2021,13,True,False,False,False,False,kubica,16,15,0,0,0,3,0,9,2.415999999999997,36
2021,13,True,False,False,False,False,mick_schumacher,17,18,0,0,19,0,0,10,2.5019999999999953,22
2021,13,True,False,False,False,False,mazepin,18,20,0,0,20,0,0,10,2.989999999999995,22
2021,15,False,False,False,True,True,norris,1,7,132,0,4,215,1,3,0.0,21
2021,15,False,False,False,True,True,sainz,2,3,0,0,7,0,0,4,0.5169999999999959,27
2021,15,False,False,False,True,True,russell,3,10,15,0,15,22,0,8,0.9900000000000091,23
